Date,MDividends
10/1/2011,0.32
11/1/2011,0.31
12/1/2011,0.46
1/1/2012,0.46
2/1/2012,0.16
3/1/2012,0.64
4/1/2012,1.23
5/1/2012,2.9
6/1/2012,4.14
7/1/2012,1.42
8/1/2012,0.53
9/1/2012,0.52
10/1/2012,0.5
11/1/2012,0.44
12/1/2012,0.56
1/1/2013,0.42
2/1/2013,0.46
3/1/2013,0.59
4/1/2013,2.38
5/1/2013,4.12
6/1/2013,3.82
7/1/2013,1.5
8/1/2013,0.51
9/1/2013,0.47
10/1/2013,0.48
11/1/2013,0.42
12/1/2013,0.43
1/1/2014,0.26
2/1/2014,0.2
3/1/2014,1.98
4/1/2014,0.77
5/1/2014,2.26
6/1/2014,1.93
7/1/2014,0.54
8/1/2014,0.77
9/1/2014,0.73
10/1/2014,1.29
11/1/2014,1.97
12/1/2014,5.22
1/1/2015,4.53
2/1/2015,1.08
3/1/2015,0.8
4/1/2015,0.74
5/1/2015,0.5
6/1/2015,0.55
7/1/2015,0.49
8/1/2015,0.89
9/1/2015,0.3
10/1/2015,0.9
11/1/2015,1.7
12/1/2015,4.49
1/1/2016,5.35
2/1/2016,2.06
3/1/2016,0.7
4/1/2016,0.45
5/1/2016,0.33
6/1/2016,0.33
7/1/2016,0.36
8/1/2016,0.18
9/1/2016,0.52
10/1/2016,1.07
11/1/2016,1.63
12/1/2016,0.58
1/1/2017,3.07
2/1/2017,0.84
3/1/2017,0.82
4/1/2017,0.49
5/1/2017,0.4
6/1/2017,0.48
7/1/2017,0.47
8/1/2017,0.62
9/1/2017,0.38
10/1/2017,1.48
11/1/2017,1.21
12/1/2017,5.45
1/1/2018,2.42
2/1/2018,0.65
3/1/2018,0.54
4/1/2018,0.45
5/1/2018,0.39
6/1/2018,0.34
7/1/2018,0.34
8/1/2018,0.23
9/1/2018,1.01
10/1/2018,0.35
11/1/2018,0.96
12/1/2018,2.76
